,Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,day_of_week,hours
48,01/02/18 08:00,1083,1,NB_NS,1,North,940,0,,8839,26,7,898,1,22,2,10,4,8
49,01/02/18 08:00,1083,2,NB_MID,1,North,892,0,,7278,35,8,851,0,26,5,2,4,8
50,01/02/18 08:00,1083,3,NB_OS,1,North,953,0,,7883,34,3,906,2,28,4,10,4,8
51,01/02/18 08:00,1083,4,SB_OS,2,South,586,0,,15451,22,11,562,0,13,0,0,4,8
52,01/02/18 08:00,1083,5,SB_MID,2,South,580,0,,15010,28,14,549,0,16,0,1,4,8
53,01/02/18 08:00,1083,6,SB_NS,2,South,965,0,,14300,45,2,909,2,37,6,9,4,8
54,01/02/18 09:00,1083,1,NB_NS,1,North,662,0,,12809,59,10,604,3,37,2,6,4,9
55,01/02/18 09:00,1083,2,NB_MID,1,North,906,0,,13091,43,16,845,4,36,3,2,4,9
56,01/02/18 09:00,1083,3,NB_OS,1,North,906,0,,13637,22,5,881,0,20,0,0,4,9
57,01/02/18 09:00,1083,4,SB_OS,2,South,410,0,,16192,17,9,391,2,5,2,1,4,9
58,01/02/18 09:00,1083,5,SB_MID,2,South,519,0,,15808,37,12,487,0,18,1,1,4,9
59,01/02/18 09:00,1083,6,SB_NS,2,South,698,0,,14992,74,5,626,4,48,4,11,4,9
60,01/02/18 10:00,1083,1,NB_NS,1,North,565,0,,13795,55,4,516,2,30,1,12,4,10
61,01/02/18 10:00,1083,2,NB_MID,1,North,645,0,,14363,78,4,587,1,45,5,3,4,10
62,01/02/18 10:00,1083,3,NB_OS,1,North,558,0,,15245,38,3,534,0,21,0,0,4,10
63,01/02/18 10:00,1083,4,SB_OS,2,South,377,0,,16390,29,13,352,1,11,0,0,4,10
64,01/02/18 10:00,1083,5,SB_MID,2,South,457,0,,15714,33,13,427,1,14,1,1,4,10
65,01/02/18 10:00,1083,6,SB_NS,2,South,593,0,,15201,108,7,513,1,57,7,8,4,10
66,01/02/18 11:00,1083,1,NB_NS,1,North,583,0,,13521,63,3,532,1,34,3,10,4,11
67,01/02/18 11:00,1083,2,NB_MID,1,North,607,0,,14571,61,7,559,4,33,4,0,4,11
68,01/02/18 11:00,1083,3,NB_OS,1,North,511,0,,15343,29,1,490,5,15,0,0,4,11
69,01/02/18 11:00,1083,4,SB_OS,2,South,440,0,,16278,32,24,400,2,14,0,0,4,11
70,01/02/18 11:00,1083,5,SB_MID,2,South,545,0,,15747,48,21,495,3,23,3,0,4,11
71,01/02/18 11:00,1083,6,SB_NS,2,South,644,0,,15052,62,6,585,5,32,8,8,4,11
72,01/02/18 12:00,1083,1,NB_NS,1,North,640,0,,13678,66,5,581,2,41,1,10,4,12
73,01/02/18 12:00,1083,2,NB_MID,1,North,660,0,,14564,52,9,614,2,31,3,1,4,12
74,01/02/18 12:00,1083,3,NB_OS,1,North,553,0,,15641,27,1,535,1,15,0,1,4,12
75,01/02/18 12:00,1083,4,SB_OS,2,South,504,0,,16297,22,9,482,2,10,1,0,4,12
76,01/02/18 12:00,1083,5,SB_MID,2,South,571,0,,15709,46,10,535,0,24,2,0,4,12
77,01/02/18 12:00,1083,6,SB_NS,2,South,673,0,,15102,68,5,612,0,41,5,10,4,12
78,01/02/18 13:00,1083,1,NB_NS,1,North,617,0,,13983,68,9,556,1,36,6,9,4,13
79,01/02/18 13:00,1083,2,NB_MID,1,North,634,0,,15071,36,2,605,4,23,0,0,4,13
80,01/02/18 13:00,1083,3,NB_OS,1,North,479,0,,15611,44,7,449,2,21,0,0,4,13
81,01/02/18 13:00,1083,4,SB_OS,2,South,513,0,,16328,19,18,482,3,10,0,0,4,13
82,01/02/18 13:00,1083,5,SB_MID,2,South,545,0,,15850,35,18,508,0,18,1,0,4,13
83,01/02/18 13:00,1083,6,SB_NS,2,South,776,0,,14701,72,4,708,1,48,8,7,4,13
84,01/02/18 14:00,1083,1,NB_NS,1,North,683,0,,13324,119,4,586,4,78,3,8,4,14
85,01/02/18 14:00,1083,2,NB_MID,1,North,567,0,,14767,65,7,520,2,35,2,1,4,14
86,01/02/18 14:00,1083,3,NB_OS,1,North,488,0,,15608,57,1,458,1,28,0,0,4,14
87,01/02/18 14:00,1083,4,SB_OS,2,South,565,0,,16292,32,20,524,3,14,4,0,4,14
88,01/02/18 14:00,1083,5,SB_MID,2,South,638,0,,15988,42,15,596,0,26,1,0,4,14
89,01/02/18 14:00,1083,6,SB_NS,2,South,842,0,,15008,50,6,778,2,37,5,14,4,14
90,01/02/18 15:00,1083,1,NB_NS,1,North,805,0,,12802,92,3,713,3,71,3,12,4,15
91,01/02/18 15:00,1083,2,NB_MID,1,North,604,0,,14066,63,10,554,1,34,4,1,4,15
92,01/02/18 15:00,1083,3,NB_OS,1,North,598,0,,14843,37,3,572,1,22,0,0,4,15
93,01/02/18 15:00,1083,4,SB_OS,2,South,666,0,,15563,23,7,644,0,14,1,0,4,15
94,01/02/18 15:00,1083,5,SB_MID,2,South,705,0,,14856,45,14,659,0,31,1,0,4,15
95,01/02/18 15:00,1083,6,SB_NS,2,South,1109,0,,13673,37,8,1051,2,38,3,7,4,15
96,01/02/18 16:00,1083,1,NB_NS,1,North,951,0,,11290,47,2,888,4,41,4,12,4,16
97,01/02/18 16:00,1083,2,NB_MID,1,North,702,0,,13344,34,8,666,2,23,1,2,4,16
98,01/02/18 16:00,1083,3,NB_OS,1,North,785,0,,13980,22,4,762,0,15,2,0,4,16
99,01/02/18 16:00,1083,4,SB_OS,2,South,802,0,,14902,6,14,783,0,5,0,0,4,16
100,01/02/18 16:00,1083,5,SB_MID,2,South,793,0,,13060,24,13,758,2,16,3,0,4,16
101,01/02/18 16:00,1083,6,SB_NS,2,South,1376,0,,11292,31,6,1317,0,40,2,11,4,16
102,01/02/18 17:00,1083,1,NB_NS,1,North,1017,0,,10643,28,7,975,1,25,3,6,4,17
103,01/02/18 17:00,1083,2,NB_MID,1,North,775,0,,12687,14,6,755,2,9,2,1,4,17
104,01/02/18 17:00,1083,3,NB_OS,1,North,887,0,,13279,16,5,868,0,14,0,0,4,17
105,01/02/18 17:00,1083,4,SB_OS,2,South,698,0,,14536,10,19,671,1,7,0,0,4,17
106,01/02/18 17:00,1083,5,SB_MID,2,South,788,0,,12811,15,22,754,0,12,0,0,4,17
107,01/02/18 17:00,1083,6,SB_NS,2,South,1256,0,,11708,10,9,1227,0,11,1,8,4,17
108,01/02/18 18:00,1083,1,NB_NS,1,North,816,0,,11318,31,7,774,1,21,4,9,4,18
109,01/02/18 18:00,1083,2,NB_MID,1,North,736,0,,12886,18,4,717,1,10,3,1,4,18
110,01/02/18 18:00,1083,3,NB_OS,1,North,723,0,,14130,15,0,712,0,11,0,0,4,18
111,01/02/18 18:00,1083,4,SB_OS,2,South,646,0,,14920,5,17,626,0,3,0,0,4,18
112,01/02/18 18:00,1083,5,SB_MID,2,South,705,0,,14141,6,15,686,0,4,0,0,4,18
113,01/02/18 18:00,1083,6,SB_NS,2,South,1034,0,,13075,11,5,1009,0,10,1,9,4,18
114,01/02/18 19:00,1083,1,NB_NS,1,North,462,0,,14618,15,3,445,0,7,0,7,4,19
115,01/02/18 19:00,1083,2,NB_MID,1,North,468,0,,15073,9,3,460,1,4,0,0,4,19
116,01/02/18 19:00,1083,3,NB_OS,1,North,412,0,,15620,10,0,406,1,4,0,1,4,19
117,01/02/18 19:00,1083,4,SB_OS,2,South,434,0,,16330,7,12,418,1,3,0,0,4,19
118,01/02/18 19:00,1083,5,SB_MID,2,South,534,0,,15709,4,15,517,0,2,0,0,4,19
119,01/02/18 19:00,1083,6,SB_NS,2,South,658,0,,15031,15,5,636,0,9,1,7,4,19
120,01/02/18 20:00,1083,1,NB_NS,1,North,380,0,,14934,32,6,358,1,9,3,3,4,20
121,01/02/18 20:00,1083,2,NB_MID,1,North,379,0,,15723,24,3,366,1,6,3,0,4,20
122,01/02/18 20:00,1083,3,NB_OS,1,North,293,0,,15966,3,0,292,0,1,0,0,4,20
123,01/02/18 20:00,1083,4,SB_OS,2,South,292,0,,16701,10,5,284,0,2,1,0,4,20
124,01/02/18 20:00,1083,5,SB_MID,2,South,433,0,,16021,5,9,422,0,2,0,0,4,20
125,01/02/18 20:00,1083,6,SB_NS,2,South,518,0,,15363,23,5,495,0,7,5,6,4,20
126,01/02/18 21:00,1083,1,NB_NS,1,North,259,0,,14826,15,2,250,0,3,1,3,4,21
127,01/02/18 21:00,1083,2,NB_MID,1,North,289,0,,15996,7,2,285,0,2,0,0,4,21
128,01/02/18 21:00,1083,3,NB_OS,1,North,166,0,,16884,12,0,164,0,2,0,0,4,21
129,01/02/18 21:00,1083,4,SB_OS,2,South,217,0,,16793,0,8,209,0,0,0,0,4,21
130,01/02/18 21:00,1083,5,SB_MID,2,South,294,0,,16769,17,12,277,0,4,1,0,4,21
131,01/02/18 21:00,1083,6,SB_NS,2,South,356,0,,16024,20,0,346,0,7,0,3,4,21
132,01/02/18 22:00,1083,1,NB_NS,1,North,181,0,,15327,33,2,170,0,6,0,3,4,22
133,01/02/18 22:00,1083,2,NB_MID,1,North,206,0,,15848,10,0,204,0,2,0,0,4,22
134,01/02/18 22:00,1083,3,NB_OS,1,North,120,0,,16572,25,0,117,0,3,0,0,4,22
135,01/02/18 22:00,1083,4,SB_OS,2,South,132,0,,17317,15,1,129,0,2,0,0,4,22
136,01/02/18 22:00,1083,5,SB_MID,2,South,247,0,,17064,4,3,243,0,1,0,0,4,22
137,01/02/18 22:00,1083,6,SB_NS,2,South,318,0,,16271,19,4,304,0,6,0,4,4,22
138,01/02/18 23:00,1083,1,NB_NS,1,North,116,0,,15802,43,1,108,0,5,0,2,4,23
139,01/02/18 23:00,1083,2,NB_MID,1,North,140,0,,16542,36,3,131,1,2,3,0,4,23
140,01/02/18 23:00,1083,3,NB_OS,1,North,58,0,,17649,0,1,57,0,0,0,0,4,23
141,01/02/18 23:00,1083,4,SB_OS,2,South,58,0,,17797,17,3,54,0,1,0,0,4,23
142,01/02/18 23:00,1083,5,SB_MID,2,South,182,0,,17514,16,2,177,0,3,0,0,4,23
143,01/02/18 23:00,1083,6,SB_NS,2,South,154,0,,16645,45,2,141,0,6,1,4,4,23
144,02/02/18 00:00,1083,1,NB_NS,1,North,54,0,,16533,74,1,49,0,3,1,0,5,0
145,02/02/18 00:00,1083,2,NB_MID,1,North,127,0,,16168,16,0,124,0,2,0,1,5,0
146,02/02/18 00:00,1083,3,NB_OS,1,North,31,0,,16962,0,0,31,0,0,0,0,5,0
147,02/02/18 00:00,1083,4,SB_OS,2,South,24,0,,18137,0,3,21,0,0,0,0,5,0
148,02/02/18 00:00,1083,5,SB_MID,2,South,103,0,,17578,19,1,100,0,2,0,0,5,0
149,02/02/18 00:00,1083,6,SB_NS,2,South,123,0,,16798,41,3,115,0,4,1,0,5,0
150,02/02/18 01:00,1083,1,NB_NS,1,North,42,0,,15807,71,2,37,0,2,1,0,5,1
151,02/02/18 01:00,1083,2,NB_MID,1,North,69,0,,16457,29,0,67,0,2,0,0,5,1
152,02/02/18 01:00,1083,3,NB_OS,1,North,19,0,,17354,0,0,19,0,0,0,0,5,1
153,02/02/18 01:00,1083,4,SB_OS,2,South,18,0,,17639,56,0,17,0,0,1,0,5,1
154,02/02/18 01:00,1083,5,SB_MID,2,South,64,0,,17526,31,2,59,1,2,0,0,5,1
155,02/02/18 01:00,1083,6,SB_NS,2,South,55,0,,16384,91,0,50,0,5,0,0,5,1
156,02/02/18 02:00,1083,1,NB_NS,1,North,21,0,,15225,0,0,21,0,0,0,0,5,2
157,02/02/18 02:00,1083,2,NB_MID,1,North,46,0,,17228,22,0,45,0,1,0,0,5,2
158,02/02/18 02:00,1083,3,NB_OS,1,North,9,0,,16173,0,0,9,0,0,0,0,5,2
159,02/02/18 02:00,1083,4,SB_OS,2,South,9,0,,16821,111,1,7,0,1,0,0,5,2
160,02/02/18 02:00,1083,5,SB_MID,2,South,44,0,,17456,23,0,43,0,1,0,0,5,2
161,02/02/18 02:00,1083,6,SB_NS,2,South,39,0,,16588,128,0,34,0,3,2,0,5,2
162,02/02/18 03:00,1083,1,NB_NS,1,North,28,0,,16389,0,0,28,0,0,0,0,5,3
163,02/02/18 03:00,1083,2,NB_MID,1,North,39,0,,16574,51,0,37,0,2,0,0,5,3
164,02/02/18 03:00,1083,3,NB_OS,1,North,9,0,,18086,0,0,9,0,0,0,0,5,3
165,02/02/18 03:00,1083,4,SB_OS,2,South,15,0,,17445,133,1,11,1,2,0,0,5,3
166,02/02/18 03:00,1083,5,SB_MID,2,South,39,0,,17315,26,1,37,0,1,0,0,5,3
167,02/02/18 03:00,1083,6,SB_NS,2,South,38,0,,17317,53,0,36,0,2,0,0,5,3
168,02/02/18 04:00,1083,1,NB_NS,1,North,48,0,,16852,21,0,47,0,1,0,0,5,4
169,02/02/18 04:00,1083,2,NB_MID,1,North,42,0,,16468,24,0,41,0,1,0,0,5,4
170,02/02/18 04:00,1083,3,NB_OS,1,North,16,0,,16979,0,0,16,0,0,0,0,5,4
171,02/02/18 04:00,1083,4,SB_OS,2,South,13,0,,19060,0,0,13,0,0,0,0,5,4
172,02/02/18 04:00,1083,5,SB_MID,2,South,43,0,,18152,0,0,43,0,0,0,0,5,4
173,02/02/18 04:00,1083,6,SB_NS,2,South,54,0,,17202,37,1,51,0,2,0,0,5,4
174,02/02/18 05:00,1083,1,NB_NS,1,North,158,0,,16384,38,3,147,0,6,0,2,5,5
175,02/02/18 05:00,1083,2,NB_MID,1,North,141,0,,16791,85,0,129,0,7,5,0,5,5
176,02/02/18 05:00,1083,3,NB_OS,1,North,59,0,,18056,51,0,56,0,3,0,0,5,5
177,02/02/18 05:00,1083,4,SB_OS,2,South,48,0,,16771,62,4,41,0,3,0,0,5,5
178,02/02/18 05:00,1083,5,SB_MID,2,South,102,0,,17688,49,3,94,0,4,1,0,5,5
179,02/02/18 05:00,1083,6,SB_NS,2,South,122,0,,16954,82,4,108,0,9,1,0,5,5
180,02/02/18 06:00,1083,1,NB_NS,1,North,332,0,,14855,33,2,307,2,11,0,10,5,6
181,02/02/18 06:00,1083,2,NB_MID,1,North,451,0,,15519,58,4,421,0,25,1,0,5,6
182,02/02/18 06:00,1083,3,NB_OS,1,North,414,0,,15903,22,4,401,0,9,0,0,5,6
183,02/02/18 06:00,1083,4,SB_OS,2,South,192,0,,17360,5,8,182,0,1,0,1,5,6
184,02/02/18 06:00,1083,5,SB_MID,2,South,258,0,,17440,35,9,239,1,8,1,0,5,6
185,02/02/18 06:00,1083,6,SB_NS,2,South,382,0,,16778,52,3,356,0,17,3,3,5,6
186,02/02/18 07:00,1083,1,NB_NS,1,North,792,0,,11574,32,9,741,0,23,2,17,5,7
187,02/02/18 07:00,1083,2,NB_MID,1,North,1087,0,,9788,34,5,1038,2,34,3,5,5,7
188,02/02/18 07:00,1083,3,NB_OS,1,North,1126,0,,9609,20,5,1097,1,22,0,1,5,7
189,02/02/18 07:00,1083,4,SB_OS,2,South,517,0,,15863,19,18,489,0,10,0,0,5,7
190,02/02/18 07:00,1083,5,SB_MID,2,South,561,0,,15203,32,17,526,0,18,0,0,5,7
191,02/02/18 07:00,1083,6,SB_NS,2,South,894,0,,14241,48,5,833,3,41,2,10,5,7
192,02/02/18 08:00,1083,1,NB_NS,1,North,804,0,,10399,42,7,758,0,29,5,5,5,8
193,02/02/18 08:00,1083,2,NB_MID,1,North,942,0,,9490,41,9,891,2,34,5,1,5,8
194,02/02/18 08:00,1083,3,NB_OS,1,North,995,0,,9594,38,5,948,2,33,5,2,5,8
195,02/02/18 08:00,1083,4,SB_OS,2,South,589,0,,15554,20,9,568,0,11,1,0,5,8
196,02/02/18 08:00,1083,5,SB_MID,2,South,557,0,,14951,50,15,512,0,26,2,2,5,8
197,02/02/18 08:00,1083,6,SB_NS,2,South,960,0,,14694,48,11,892,0,39,7,11,5,8
198,02/02/18 09:00,1083,1,NB_NS,1,North,653,0,,13299,46,6,605,0,30,0,12,5,9
199,02/02/18 09:00,1083,2,NB_MID,1,North,816,0,,13762,48,8,762,6,36,3,1,5,9
200,02/02/18 09:00,1083,3,NB_OS,1,North,823,0,,14219,41,3,786,0,33,1,0,5,9
201,02/02/18 09:00,1083,4,SB_OS,2,South,443,0,,16272,23,18,414,0,9,1,1,5,9
202,02/02/18 09:00,1083,5,SB_MID,2,South,542,0,,15568,72,21,482,0,36,3,0,5,9
203,02/02/18 09:00,1083,6,SB_NS,2,South,710,0,,14856,68,7,645,2,45,3,8,5,9
204,02/02/18 10:00,1083,1,NB_NS,1,North,552,0,,13797,83,5,491,2,43,3,8,5,10
205,02/02/18 10:00,1083,2,NB_MID,1,North,595,0,,14847,54,9,551,2,29,3,1,5,10
206,02/02/18 10:00,1083,3,NB_OS,1,North,521,0,,15627,38,3,498,0,20,0,0,5,10
207,02/02/18 10:00,1083,4,SB_OS,2,South,406,0,,16573,30,13,374,7,10,2,0,5,10
208,02/02/18 10:00,1083,5,SB_MID,2,South,488,0,,16017,45,9,457,0,20,2,0,5,10
209,02/02/18 10:00,1083,6,SB_NS,2,South,599,0,,14792,85,5,531,2,42,9,10,5,10
210,02/02/18 11:00,1083,1,NB_NS,1,North,579,0,,13601,62,6,524,2,32,4,11,5,11
211,02/02/18 11:00,1083,2,NB_MID,1,North,644,0,,14775,43,6,607,3,24,4,0,5,11
212,02/02/18 11:00,1083,3,NB_OS,1,North,514,0,,15790,45,0,491,0,23,0,0,5,11
213,02/02/18 11:00,1083,4,SB_OS,2,South,421,0,,16404,26,7,403,0,9,2,0,5,11
214,02/02/18 11:00,1083,5,SB_MID,2,South,592,0,,15640,46,18,547,0,24,3,0,5,11
215,02/02/18 11:00,1083,6,SB_NS,2,South,703,0,,14955,71,4,638,3,45,5,8,5,11
216,02/02/18 12:00,1083,1,NB_NS,1,North,590,0,,13537,61,7,537,1,34,2,9,5,12
217,02/02/18 12:00,1083,2,NB_MID,1,North,696,0,,14720,45,13,652,0,27,4,0,5,12
218,02/02/18 12:00,1083,3,NB_OS,1,North,612,0,,15436,26,3,590,3,16,0,0,5,12
219,02/02/18 12:00,1083,4,SB_OS,2,South,571,0,,15801,14,11,551,1,8,0,0,5,12
220,02/02/18 12:00,1083,5,SB_MID,2,South,597,0,,15574,42,12,560,0,23,2,0,5,12
221,02/02/18 12:00,1083,6,SB_NS,2,South,802,0,,14601,54,10,738,2,40,3,9,5,12
222,02/02/18 13:00,1083,1,NB_NS,1,North,633,0,,13610,58,10,576,4,37,0,6,5,13
223,02/02/18 13:00,1083,2,NB_MID,1,North,662,0,,14709,54,14,609,0,34,2,3,5,13
224,02/02/18 13:00,1083,3,NB_OS,1,North,534,0,,15513,36,1,512,2,19,0,0,5,13
225,02/02/18 13:00,1083,4,SB_OS,2,South,566,0,,15947,25,7,544,1,13,1,0,5,13
226,02/02/18 13:00,1083,5,SB_MID,2,South,654,0,,15505,31,23,609,1,19,1,0,5,13
227,02/02/18 13:00,1083,6,SB_NS,2,South,861,0,,14558,70,9,783,0,53,7,9,5,13
228,02/02/18 14:00,1083,1,NB_NS,1,North,676,0,,13510,53,3,626,2,35,1,9,5,14
229,02/02/18 14:00,1083,2,NB_MID,1,North,588,0,,14763,51,8,545,1,28,2,3,5,14
230,02/02/18 14:00,1083,3,NB_OS,1,North,560,0,,15442,43,0,535,0,24,0,1,5,14
231,02/02/18 14:00,1083,4,SB_OS,2,South,668,0,,16085,25,18,633,0,17,0,0,5,14
232,02/02/18 14:00,1083,5,SB_MID,2,South,684,0,,15437,38,14,642,2,25,1,0,5,14
233,02/02/18 14:00,1083,6,SB_NS,2,South,1011,0,,14475,49,7,939,4,47,3,11,5,14
234,02/02/18 15:00,1083,1,NB_NS,1,North,749,0,,12743,72,5,674,5,53,1,11,5,15
235,02/02/18 15:00,1083,2,NB_MID,1,North,600,0,,13962,32,2,574,4,17,2,1,5,15
236,02/02/18 15:00,1083,3,NB_OS,1,North,660,0,,14701,36,0,633,3,24,0,0,5,15
237,02/02/18 15:00,1083,4,SB_OS,2,South,716,0,,15542,21,22,678,1,14,1,0,5,15
238,02/02/18 15:00,1083,5,SB_MID,2,South,737,0,,14715,33,25,684,2,22,2,2,5,15
239,02/02/18 15:00,1083,6,SB_NS,2,South,1130,0,,13333,35,5,1078,0,37,3,7,5,15
240,02/02/18 16:00,1083,1,NB_NS,1,North,894,0,,9314,45,12,834,1,38,2,7,5,16
241,02/02/18 16:00,1083,2,NB_MID,1,North,817,0,,10472,31,3,784,1,22,3,4,5,16
242,02/02/18 16:00,1083,3,NB_OS,1,North,997,0,,10888,31,5,961,0,29,2,0,5,16
243,02/02/18 16:00,1083,4,SB_OS,2,South,715,0,,15512,8,21,687,1,6,0,0,5,16
244,02/02/18 16:00,1083,5,SB_MID,2,South,778,0,,14237,17,16,746,3,13,0,0,5,16
245,02/02/18 16:00,1083,6,SB_NS,2,South,1253,0,,12485,22,5,1210,0,25,3,10,5,16
246,02/02/18 17:00,1083,1,NB_NS,1,North,924,0,,10395,26,8,881,1,23,1,10,5,17
247,02/02/18 17:00,1083,2,NB_MID,1,North,834,0,,11780,18,10,806,0,13,2,3,5,17
248,02/02/18 17:00,1083,3,NB_OS,1,North,890,0,,12447,13,4,873,0,12,0,1,5,17
249,02/02/18 17:00,1083,4,SB_OS,2,South,696,0,,14615,7,10,681,0,5,0,0,5,17
250,02/02/18 17:00,1083,5,SB_MID,2,South,804,0,,13284,10,13,783,0,7,1,0,5,17
251,02/02/18 17:00,1083,6,SB_NS,2,South,1147,0,,12535,21,9,1108,0,22,2,6,5,17
252,02/02/18 18:00,1083,1,NB_NS,1,North,654,0,,13454,23,2,630,0,15,0,7,5,18
253,02/02/18 18:00,1083,2,NB_MID,1,North,608,0,,13998,15,3,595,1,8,1,0,5,18
254,02/02/18 18:00,1083,3,NB_OS,1,North,594,0,,14723,10,0,588,0,6,0,0,5,18
255,02/02/18 18:00,1083,4,SB_OS,2,South,564,0,,15668,2,12,551,0,1,0,0,5,18
256,02/02/18 18:00,1083,5,SB_MID,2,South,628,0,,15477,8,15,608,0,4,1,0,5,18
257,02/02/18 18:00,1083,6,SB_NS,2,South,915,0,,14559,12,8,887,0,11,0,9,5,18
258,02/02/18 19:00,1083,1,NB_NS,1,North,400,0,,14424,25,1,382,0,7,3,7,5,19
